"# The following lines are upgrading and recreating the main ""Community"" page and forum content for the Geometrixx Shapes site",,,
Forum,/content/geometrixx/en/community/jcr:content/par/forum.social.json,,
larry.a.spiller@pookmail.com/larry.a.spiller,0,Awesome hack: How to use GeoCuboid as a pizza box,I ordered a relatively flat GeoCuboid with a quadratic base. I then opened up the top GeoSquare and put my pizza in. It works really great. I can totally recommend it.
aparker@geometrixx.info/aparker,1,Reply,"We strongly discourage opening your GeoShape products, they are not meant as containers. GeoMetrixx will not take responsibility for any damages incurred by mis-using our products. This thread is closed."
carlene.j.avery@mailinator.com/carlene.j.avery,0,How to install GeoSphere in an orbit?,I am a recreational rocket scientist and would like to install GeoSphere in an orbit of earth. Is there anything I have to be aware of?
aparker@geometrixx.info/aparker,1,Reply,"GeoSphere is certified for operation in orbit and outer space. There is nothing special you should be aware of, just don't forget to close the doors of your space ship after installing GeoSphere. And let us know how it goes."
charles.s.johnson@trashymail.com/charles.s.johnson,0,"I tried to change the dihedral angle, now my cube is broken","I always fancied a GeoGube with a slighly bigger dihedral angle, so I tried to mod it, but now it looks broken. Can anyone help me?"
aparker@geometrixx.info/aparker,1,Reply,"If you want a bigger dihedral angle, you can still buy a GeoDodecahedron or GeoIcosahedron, but I think there is little use for a dihedral angle that big."
iris.r.mccoy@mailinator.com/iris.r.mccoy,1,Reply,You cannot change the dihedral angle in a cube. It is fixed. This is what makes it a cube.
leslie.d.dufault@trashymail.com/leslie.d.dufault,1,Reply,"Sorry for the Newbie question, but what is the dihedral angle?"
aparker@geometrixx.info/aparker,1,Reply,"No problem, this is the angle between the sides of the cube."
keith.m.mabry@spambob.com/keith.m.mabry,0,GeoCube: Which side is up?,"I just got my GeoCube, but I wonder which side is up. They all look the same."
aparker@geometrixx.info/aparker,1,Reply,Did you read the manual? It does not matter. They all look the same because they are 100% identical GeoSquares. You cannot do wrong with it.
omar.b.kamp@dodgit.com/omar.b.kamp,0,Favorite colors for GeoPrism?,"Hey GeoFanBoys and GeoFanGirls, what are your favorite colors for the new GeoPrism? I know it can break light into all colors, but which one is your favorite?"
harold.w.gavin@spambob.com/harold.w.gavin,1,Reply,"Blue, what else?"
iris.r.mccoy@mailinator.com/iris.r.mccoy,1,Reply,"Green, hands down."
luz.a.smith@dodgit.com/luz.a.smith,1,Reply,"Indigo, all other colors are boring."
larry.a.spiller@pookmail.com/larry.a.spiller,1,Reply,Orange!
leonard.a.duncan@mailinator.com/leonard.a.duncan,1,Reply,Red.
carlene.j.avery@mailinator.com/carlene.j.avery,1,Reply,"Violet, is the one I like most."
laura.j.richardson@pookmail.com/laura.j.richardson,1,Reply,Yellow?
ralph.e.johnson@mailinator.com/ralph.e.johnson,0,I am selling my GeoShapes collection,I am so sick of all these endless discussions about shapes and squares and spheres. I give up and sell my stuff. And to everyone here in the forum: wake up and get a life. There are things beyond geometry.
shantel.j.jones@pookmail.com/shantel.j.jones,0,Changing the default volume,"Is it possible to change the volume of my GeoSphere? I bought the mid-sided one, but now I wonder if I can upgrade it to a slightly bigger one."
shantel.j.jones@pookmail.com/shantel.j.jones,0,I have been having problems with my GeoPyramid,Somebody stepped over it and one of its corners chipped off. What can I do?
aparker@geometrixx.info/aparker,1,Reply,This is covered by your guarantee. Just send the Pyramid and your original receipt back to GeoMetrixx and we will send you a new one.
zachary.w.mitchell@spambob.com/zachary.w.mitchell,0,"Missing the ""rotational symmetry"" feature","I turned around the mirror multiple times, but it still does not seem to work."
willie.a.melton@dodgit.com/willie.a.melton,0,How to disable Color detection,How can I disable Color detection from GeoCube?
willie.a.melton@dodgit.com/willie.a.melton,1,Reply,"Sorry, wrong thread."
virginia.l.armstrong@spambob.com/virginia.l.armstrong,0,Is Geocube compatible with the Hexahedron industry standard?,We already have a couple of Hexahedrons in production and want to make sure Geocube fits into our existing setup.
aparker@geometrixx.info/aparker,1,Reply,"Yes, GeoCube is fully Hexahedron-compliant. We are waiting for the final certification of GeoCube 2.0, then we will put it up on the website. Both GeoCube 1.0 and GeoCube 2.0 are regulat Hexahedrons, so this should be of no concern for you."
virginia.l.armstrong@spambob.com/virginia.l.armstrong,1,Reply,Thank you!
yolanda.s.huggins@trashymail.com/yolanda.s.huggins,0,Removing corners from GeoCube,Is it possible to have a GeoCube with just seven corners? Eight seems a bit much to me.
aparker@geometrixx.info/aparker,1,Reply,"No, you can't remove corners, but you can buy our GeoPyramid with an octagonal base, this will give you a three-dimensional Septagon."
leonard.a.duncan@mailinator.com/leonard.a.duncan,0,How does trunction work?,I've read something about truncation - and it can be used to transform an Icosahedron. Is that true?
aparker@geometrixx.info/aparker,1,Reply,"Yes, in fact our GeoIcosahedrons are sometimes truncated to create Soccer balls. There is a company in New Mexico that specializes on this technique."
william.a.plunkett@mailinator.com/william.a.plunkett,0,"Question posted 2 months ago, no response - please help",Why won't anybody help me?
virginia.l.armstrong@spambob.com/virginia.l.armstrong,1,Reply,"Perhaps, because you are not stating your question?"
william.a.plunkett@mailinator.com/william.a.plunkett,1,Reply,Fair enough!
scott.b.reynolds@dodgit.com/scott.b.reynolds,0,How can do it: showing square projection of cube,I want to make my GeoCube appear like GeoSquare. How can do it?
laura.j.richardson@pookmail.com/laura.j.richardson,0,Error when upgrading - Fatal error: edges not aligned,"I wanted to update my GeoTetrahedon 1.0 to GeoCube 2.0, but now I am getting this error. What is wrong?"
ivan.l.parrino@mailinator.com/ivan.l.parrino,0,When will theming work,I've been waiting for months?
iris.r.mccoy@mailinator.com/iris.r.mccoy,0,Changing GeoSphere radius HELP!!!,"I know that it is impossible to change the volume of GeoSphere, but how can I change the radius? Or at least the diameter? Please help!"
larry.a.spiller@pookmail.com/larry.a.spiller,0,Help - Emergency,My GeoCuboid smells like cheese and old pizza and there are grease stains on the inside that I can't get rid of. What can I do to get my GeoCuboid nice and clean again.
aparker@geometrixx.info/aparker,1,Reply,Unfortunately we cannot refund in this case.
larry.a.spiller@pookmail.com/larry.a.spiller,1,Reply,"I did not, my dog did it. Can you still refund it?"
aparker@geometrixx.info/aparker,1,Reply,"Did you open or GeoCuboid and put something in? Did you try the ""awesome pizza box hack"". In that case we cannot give you any support."
aparker@geometrixx.info/aparker,0,Announcement: GeoPrism 2.0 now available,GeoPrism 2.0 available now.
"# The following lines are upgrading and recreating the ""Ratings"" components on the ""Products"" pages",,,
Ratings,/content/geometrixx/en/products/triangle/jcr:content/par/ratings.social.json,sling:resourceType,social/tally/components/hbs/rating
aparker@geometrixx.info/aparker,0,1,
larry.a.spiller@pookmail.com/larry.a.spiller,0,2,
willie.a.melton@dodgit.com/willie.a.melton,0,3,
Ratings,/content/geometrixx/en/products/square/jcr:content/par/ratings.social.json,sling:resourceType,social/tally/components/hbs/rating
aparker@geometrixx.info/aparker,0,5,
larry.a.spiller@pookmail.com/larry.a.spiller,0,1,
willie.a.melton@dodgit.com/willie.a.melton,0,3,
william.a.plunkett@mailinator.com/william.a.plunkett,0,4,
Ratings,/content/geometrixx/en/products/circle/jcr:content/par/ratings.social.json,sling:resourceType,social/tally/components/hbs/rating
larry.a.spiller@pookmail.com/larry.a.spiller,0,1,
willie.a.melton@dodgit.com/willie.a.melton,0,3,
william.a.plunkett@mailinator.com/william.a.plunkett,0,4,
laura.j.richardson@pookmail.com/laura.j.richardson,0,1,
Ratings,/content/geometrixx/en/products/mandelbrot/jcr:content/par/ratings.social.json,sling:resourceType,social/tally/components/hbs/rating
aparker@geometrixx.info/aparker,0,3,
willie.a.melton@dodgit.com/willie.a.melton,0,4,
larry.a.spiller@pookmail.com/larry.a.spiller,0,5,
"# The following lines are upgrading and recreating the ""Comments"" components on the ""Blog"" pages",,,
Comments,/content/geometrixx/en/blog/2009/01/dsc_2008_show_inber/jcr:content/alt/comments.social.json,,
larry.a.spiller@pookmail.com/larry.a.spiller,0,I'll be there,
willie.a.melton@dodgit.com/willie.a.melton,0,So do I!,
virginia.l.armstrong@spambob.com/virginia.l.armstrong,1,Berlin is a such a nice city!,
